director_name,ceremony,year,category,outcome,original_language
Danny Glover,World Music and Independent Film Festival,2018,Festival Award,Nominated,en
Matthew Currie Holmes,World Music and Independent Film Festival,2018,Festival Award,Nominated,en
Aki Kaurismรคki,Berlin International Film Festival,2017,Silver Berlin Bear,Won,fi
Aki Kaurismรคki,Berlin International Film Festival,2017,Golden Berlin Bear,Nominated,fi
Aki Kaurismรคki,Hamptons International Film Festival,2017,Brizzolara Family Foundation Award for a Film of Conflict and Resolution,Nominated,fi
Aki Kaurismรคki,Jerusalem Film Festival,2017,In Spirit for Freedom Award,Won,fi
Aki Kaurismรคki,Luxembourg City Film Festival,2017,Grand Prix,Won,fi
Aki Kaurismรคki,Munich Film Festival,2017,German Cinema Award for Peace,Won,fi
Aki Kaurismรคki,San Sebastiรกn International Film Festival,2017,FIPRESCI Film of the Year,Won,fi
Aki Kaurismรคki,Sydney Film Festival,2017,Sydney Film Prize,Nominated,fi
Andrew Stanton,BAFTA Awards,2017,BAFTA Film Award,Nominated,en
Andrew Stanton,Alliance of Women Film Journalists,2017,EDA Award,Nominated,en
Andrew Stanton,Gold Derby Awards,2017,Gold Derby Award,Nominated,en
Andrew Stanton,Online Film & Television Association,2017,OFTA Film Award,Nominated,en
Andrew Stanton,Seattle Film Critics Awards,2017,Seattle Film Critics Award,Nominated,en
Sam Mendes,BAFTA Awards,2017,BAFTA TV Award,Nominated,en
John Fawcett,"Canadian Screen Awards, CA",2017,Canadian Screen Award,Won,en
Luc Besson,"Empire Awards, UK",2017,Inspiration Award,Won,en
Quentin Tarantino,Argentinean Film Critics Association Awards,2017,Silver Condor,Nominated,en
Quentin Tarantino,CinEuphoria Awards,2017,CinEuphoria,Won,en
Michael Winterbottom,Berlin International Film Festival,2017,Crystal Bear,Nominated,en
Francis Ford Coppola,Biografilm Festival,2017,Guerrilla Staff Award al Miglior Ospite,Won,en
Clint Eastwood,AARP Movies for Grownups Awards,2017,Movies for Grownups Award,Nominated,en
Alejandro Gonzรกlez Iรฑรกrritu,Bodil Awards,2017,Bodil,Won,en
Alejandro Gonzรกlez Iรฑรกrritu,Bodil Awards,2017,Streaming Award,Nominated,en
Alejandro Gonzรกlez Iรฑรกrritu,"Globes de Cristal Awards, France",2017,Globe de Cristal,Won,en
Alejandro Gonzรกlez Iรฑรกrritu,"Golden Eagle Awards, Russia",2017,Golden Eagle,Won,en
Alejandro Gonzรกlez Iรฑรกrritu,Robert Festival,2017,Robert,Won,en
Alejandro Gonzรกlez Iรฑรกrritu,"SESC Film Festival, Brazil",2017,Audience Award,Won,en
Pedro Almodรณvar,BAFTA Awards,2017,BAFTA Film Award,Nominated,es
Pedro Almodรณvar,AARP Movies for Grownups Awards,2017,Movies for Grownups Award,Nominated,es
Pedro Almodรณvar,Alliance of Women Film Journalists,2017,EDA Award,Nominated,es
Pedro Almodรณvar,Argentinean Film Critics Association Awards,2017,Silver Condor,Nominated,es
Pedro Almodรณvar,"Cinema Writers Circle Awards, Spain",2017,CEC Award,Nominated,es
Pedro Almodรณvar,"Feroz Awards, ES",2017,Feroz Award,Nominated,es
Pedro Almodรณvar,Fotogramas de Plata,2017,Fotogramas de Plata,Nominated,es
Pedro Almodรณvar,"Globes de Cristal Awards, France",2017,Globe de Cristal,Nominated,es
Pedro Almodรณvar,Goya Awards,2017,Goya,Nominated,es
Pedro Almodรณvar,International Cinephile Society Awards,2017,ICS Award,Nominated,es
Pedro Almodรณvar,International Online Cinema Awards (INOCA),2017,INOCA,Nominated,es
Pedro Almodรณvar,Josรฉ Marรญa Forquรฉ Awards,2017,Josรฉ Marรญa Forquรฉ Award,Nominated,es
Pedro Almodรณvar,Sant Jordi Awards,2017,Rosa de Sant Jordi Audience Award,Won,es
Pedro Almodรณvar,The Platino Awards for Iberoamerican Cinema,2017,Platino Award,Won,es
James Mangold,International Online Cinema Awards (INOCA),2017,Halfway Award,Nominated,en
Stephen Daldry,Primetime Emmy Awards,2017,Primetime Emmy,Nominated,en
Stephen Daldry,BAFTA Awards,2017,BAFTA TV Award,Nominated,en
Steven Spielberg,"Academy of Science Fiction, Fantasy & Horror Films, USA",2017,Saturn Award,Nominated,en
