year_ceremony,Category,name,film
1928,Best Actor,Emil Jannings,The Last Command
1928,Best Actress,Janet Gaynor,7th Heaven
1929,Best Actor,Warner Baxter,In Old Arizona
1929,Best Actress,Mary Pickford,Coquette
1930,Best Actor,George Arliss,Disraeli
1930,Best Actress,Norma Shearer,The Divorcee
1931,Best Actor,Lionel Barrymore,A Free Soul
1931,Best Actress,Marie Dressler,Min and Bill
1932,Best Actor,Wallace Beery,The Champ
1932,Best Actor,Fredric March,Dr. Jekyll and Mr. Hyde
1932,Best Actress,Helen Hayes,The Sin of Madelon Claudet
1933,Best Actor,Charles Laughton,The Private Life of Henry VIII
1933,Best Actress,Katharine Hepburn,Morning Glory
1935,Best Actor,Clark Gable,It Happened One Night
1935,Best Actress,Claudette Colbert,It Happened One Night
1936,Best Actor,Victor McLaglen,The Informer
1936,Best Actress,Bette Davis,Dangerous
1937,Best Actor,Paul Muni,The Story of Louis Pasteur
1937,Best Actor in supporting role,Walter Brennan,Come and Get It
1937,Best Actress,Luise Rainer,The Great Ziegfeld
1937,ACTRESS IN A SUPPORTING ROLE,Gale Sondergaard,Anthony Adverse
1938,Best Actor,Spencer Tracy,Captains Courageous
1938,Best Actor in supporting role,Joseph Schildkraut,The Life of Emile Zola
1938,Best Actress,Luise Rainer,The Good Earth
1938,ACTRESS IN A SUPPORTING ROLE,Alice Brady,In Old Chicago
1939,Best Actor,Spencer Tracy,Boys Town
1939,Best Actor in supporting role,Walter Brennan,Kentucky
1939,Best Actress,Bette Davis,Jezebel
1939,ACTRESS IN A SUPPORTING ROLE,Fay Bainter,Jezebel
1940,Best Actor,Robert Donat,"Goodbye, Mr. Chips"
1940,Best Actor in supporting role,Thomas Mitchell,Stagecoach
1940,Best Actress,Vivien Leigh,Gone with the Wind
1940,ACTRESS IN A SUPPORTING ROLE,Hattie McDaniel,Gone with the Wind
1941,Best Actor,James Stewart,The Philadelphia Story
1941,Best Actor in supporting role,Walter Brennan,The Westerner
1941,Best Actress,Ginger Rogers,Kitty Foyle
1941,ACTRESS IN A SUPPORTING ROLE,Jane Darwell,The Grapes of Wrath
1942,Best Actor,Gary Cooper,Sergeant York
1942,Best Actor in supporting role,Donald Crisp,How Green Was My Valley
1942,Best Actress,Joan Fontaine,Suspicion
1942,ACTRESS IN A SUPPORTING ROLE,Mary Astor,The Great Lie
1943,Best Actor,James Cagney,Yankee Doodle Dandy
1943,Best Actor in supporting role,Van Heflin,Johnny Eager
1943,Best Actress,Greer Garson,Mrs. Miniver
1943,ACTRESS IN A SUPPORTING ROLE,Teresa Wright,Mrs. Miniver
1944,Best Actor,Paul Lukas,Watch on the Rhine
1944,Best Actor in supporting role,Charles Coburn,The More the Merrier
1944,Best Actress,Jennifer Jones,The Song of Bernadette
1944,ACTRESS IN A SUPPORTING ROLE,Katina Paxinou,For Whom the Bell Tolls
1945,Best Actor,Bing Crosby,Going My Way
1945,Best Actor in supporting role,Barry Fitzgerald,Going My Way
1945,Best Actress,Ingrid Bergman,Gaslight
1945,ACTRESS IN A SUPPORTING ROLE,Ethel Barrymore,None but the Lonely Heart
1946,Best Actor,Ray Milland,The Lost Weekend
1946,Best Actor in supporting role,James Dunn,A Tree Grows in Brooklyn
1946,Best Actress,Joan Crawford,Mildred Pierce
1946,ACTRESS IN A SUPPORTING ROLE,Anne Revere,National Velvet
1947,Best Actor,Fredric March,The Best Years of Our Lives
1947,Best Actor in supporting role,Harold Russell,The Best Years of Our Lives
1947,Best Actress,Olivia de Havilland,To Each His Own
1947,ACTRESS IN A SUPPORTING ROLE,Anne Baxter,The Razor's Edge
1948,Best Actor,Ronald Colman,A Double Life
1948,Best Actor in supporting role,Edmund Gwenn,Miracle on 34th Street
1948,Best Actress,Loretta Young,The Farmer's Daughter
1948,ACTRESS IN A SUPPORTING ROLE,Celeste Holm,Gentleman's Agreement
1949,Best Actor,Laurence Olivier,Hamlet
1949,Best Actor in supporting role,Walter Huston,The Treasure of the Sierra Madre
1949,Best Actress,Jane Wyman,Johnny Belinda
1949,ACTRESS IN A SUPPORTING ROLE,Claire Trevor,Key Largo
1950,Best Actor,Broderick Crawford,All the King's Men
1950,Best Actor in supporting role,Dean Jagger,Twelve O'Clock High
1950,Best Actress,Olivia de Havilland,The Heiress
1950,ACTRESS IN A SUPPORTING ROLE,Mercedes McCambridge,All the King's Men
1951,Best Actor,José Ferrer,Cyrano de Bergerac
1951,Best Actor in supporting role,George Sanders,All about Eve
1951,Best Actress,Judy Holliday,Born Yesterday
1951,ACTRESS IN A SUPPORTING ROLE,Josephine Hull,Harvey
1952,Best Actor,Humphrey Bogart,The African Queen
1952,Best Actor in supporting role,Karl Malden,A Streetcar Named Desire
1952,Best Actress,Vivien Leigh,A Streetcar Named Desire
1952,ACTRESS IN A SUPPORTING ROLE,Kim Hunter,A Streetcar Named Desire
1953,Best Actor,Gary Cooper,High Noon
1953,Best Actor in supporting role,Anthony Quinn,Viva Zapata!
1953,Best Actress,Shirley Booth,"Come Back, Little Sheba"
1953,ACTRESS IN A SUPPORTING ROLE,Gloria Grahame,The Bad and the Beautiful
1954,Best Actor,William Holden,Stalag 17
1954,Best Actor in supporting role,Frank Sinatra,From Here to Eternity
1954,Best Actress,Audrey Hepburn,Roman Holiday
1954,ACTRESS IN A SUPPORTING ROLE,Donna Reed,From Here to Eternity
1955,Best Actor,Marlon Brando,On the Waterfront
1955,Best Actor in supporting role,Edmond O'Brien,The Barefoot Contessa
1955,Best Actress,Grace Kelly,The Country Girl
1955,ACTRESS IN A SUPPORTING ROLE,Eva Marie Saint,On the Waterfront
1956,Best Actor,Ernest Borgnine,Marty
1956,Best Actor in supporting role,Jack Lemmon,Mister Roberts
1956,Best Actress,Anna Magnani,The Rose Tattoo
1956,ACTRESS IN A SUPPORTING ROLE,Jo Van Fleet,East of Eden
1957,Best Actor,Yul Brynner,The King and I
1957,Best Actor in supporting role,Anthony Quinn,Lust for Life
1957,Best Actress,Ingrid Bergman,Anastasia
1957,ACTRESS IN A SUPPORTING ROLE,Dorothy Malone,Written on the Wind
1958,Best Actor,Alec Guinness,The Bridge on the River Kwai
1958,Best Actor in supporting role,Red Buttons,Sayonara
1958,Best Actress,Joanne Woodward,The Three Faces of Eve
1958,ACTRESS IN A SUPPORTING ROLE,Miyoshi Umeki,Sayonara
1959,Best Actor,David Niven,Separate Tables
1959,Best Actor in supporting role,Burl Ives,The Big Country
1959,Best Actress,Susan Hayward,I Want to Live!
1959,ACTRESS IN A SUPPORTING ROLE,Wendy Hiller,Separate Tables
1960,Best Actor,Charlton Heston,Ben-Hur
1960,Best Actor in supporting role,Hugh Griffith,Ben-Hur
1960,Best Actress,Simone Signoret,Room at the Top
1960,ACTRESS IN A SUPPORTING ROLE,Shelley Winters,The Diary of Anne Frank
1961,Best Actor,Burt Lancaster,Elmer Gantry
1961,Best Actor in supporting role,Peter Ustinov,Spartacus
1961,Best Actress,Elizabeth Taylor,Butterfield 8
1961,ACTRESS IN A SUPPORTING ROLE,Shirley Jones,Elmer Gantry
1962,Best Actor,Maximilian Schell,Judgment at Nuremberg
1962,Best Actor in supporting role,George Chakiris,West Side Story
1962,Best Actress,Sophia Loren,Two Women
1962,ACTRESS IN A SUPPORTING ROLE,Rita Moreno,West Side Story
1963,Best Actor,Gregory Peck,To Kill a Mockingbird
1963,Best Actor in supporting role,Ed Begley,Sweet Bird of Youth
1963,Best Actress,Anne Bancroft,The Miracle Worker
1963,ACTRESS IN A SUPPORTING ROLE,Patty Duke,The Miracle Worker
1964,Best Actor,Sidney Poitier,Lilies of the Field
1964,Best Actor in supporting role,Melvyn Douglas,Hud
1964,Best Actress,Patricia Neal,Hud
1964,ACTRESS IN A SUPPORTING ROLE,Margaret Rutherford,The V.I.P.s
1965,Best Actor,Rex Harrison,My Fair Lady
1965,Best Actor in supporting role,Peter Ustinov,Topkapi
1965,Best Actress,Julie Andrews,Mary Poppins
1965,ACTRESS IN A SUPPORTING ROLE,Lila Kedrova,Zorba the Greek
